315::ICV::Antoni Guirao::http://storico.blogspot.com/feeds/posts/default
317::ICV::Jes?s Hern?ndez::http://jesushernandeznicolau.blogspot.com/feeds/posts/default
318::ICV::Andr?s Hidalgo::http://andreshidalgo.blogspot.com/feeds/posts/default
319::ICV::Jordi Jordan::http://jordijordan.blogspot.com/feeds/posts/default
322::ICV::Joan Luengo::http://joanluengo.blogspot.com/feeds/posts/default
324::ICV::Salvador Matas::http://salvadormatas.blogspot.com/feeds/posts/default
325::ICV::Francesc Mercad?::http://francescmercade.blogspot.com/feeds/posts/default
326::ICV::Jordi Merino::http://jordimerino.blogspot.com/feeds/posts/default
327::ICV::Anna Mir::http://annamird7.blogspot.com/feeds/posts/default
329::ICV::Roger Puig::http://rogermpuig.blogspot.com/feeds/posts/default 
330::ICV::Bernat Villarroya::http://fragmentari.blogspot.com/feeds/posts/default
332::ICV::Xavier Tornafoch::http://tornafoch.blogspot.com/feeds/posts/default
333::ICV::Joan Herrera::http://joanherreratorres.blogspot.com/feeds/posts/default
334::ICV::Ricard Goma::http://ricardgoma.blogspot.com/feeds/posts/default
335::ICV::Raul::http://blocs.mesvilaweb.cat/rss/2.0/bloc/6284/
336::ICV::Marta Ribes::http://mribas.blogspot.com.es/feeds/posts/default
337::ICV::Badia::http://badianecesitauncambio.blogspot.com/feeds/posts/default
